movie,year,certificate,genre.1,genre.2,genre.3,imdb_rating,metascore,time_minute,vote,gross_earning
The Broken Circle Breakdown,(2012),'-,Drama, Music, Romance,7.7,70,111 min,41837,$0.18M
The Red Shoes,(1948),'-,Drama, Music, Romance,8.1,'-,135 min,36359,$10.90M
Les parapluies de Cherbourg,(1964),'-,Drama, Musical, Romance,7.8,86,91 min,28733,$0.03M
Darbareye Elly,(2009),'-,Drama, Mystery,'-,7.9,87,119 min,54536,$0.11M
Jules et Jim,(1962),'-,Drama, Romance,'-,7.7,97,105 min,42651,'-
Days of Heaven,(1978),'-,Drama, Romance,'-,7.8,93,94 min,59508,'-
Hiroshima mon amour,(1959),'-,Drama, Romance,'-,7.9,'-,90 min,33516,$0.09M
Hoje Eu Quero Voltar Sozinho,(2014),'-,Drama, Romance,'-,7.9,71,96 min,26167,$0.10M
Chun gwong cha sit,(1997),'-,Drama, Romance,'-,7.7,70,96 min,30992,$0.19M
Sunrise: A Song of Two Humans,(1927),'-,Drama, Romance,'-,8.1,95,94 min,51861,$0.54M
Yi yi,(2000),'-,Drama, Romance,'-,8.1,94,173 min,25740,$1.14M
A Woman Under the Influence,(1974),'-,Drama, Romance,'-,8.1,88,155 min,26327,$13.34M
Da hong denglong gaogao gua,(1991),'-,Drama, Romance,'-,8.1,'-,125 min,33592,$2.60M
The Best Years of Our Lives,(1946),'-,Drama, Romance, War,8.1,93,170 min,66268,$23.65M
From Here to Eternity,(1953),'-,Drama, Romance, War,7.6,85,118 min,48241,$30.50M
Metropolis,(1927),'-,Drama, Sci-Fi,'-,8.3,98,153 min,176755,$1.24M
Kokuhaku,(2010),'-,Drama, Thriller,'-,7.7,'-,106 min,40208,'-
Persona,(1966),'-,Drama, Thriller,'-,8.1,86,85 min,121954,#243
Roma città aperta,(1945),'-,Drama, Thriller, War,8,'-,103 min,27350,'-
La battaglia di Algeri,(1966),'-,Drama, War,'-,8.1,96,121 min,61702,$0.06M
Beasts of No Nation,(2015),'-,Drama, War,'-,7.7,79,137 min,83259,$0.08M
Mandariinid,(2013),'-,Drama, War,'-,8.1,73,87 min,47166,$0.14M
La Grande Illusion,(1937),'-,Drama, War,'-,8.1,'-,113 min,37407,$0.17M
Red River,(1948),'-,Drama, Western,'-,7.8,96,133 min,32264,'-
Rio Bravo,(1959),'-,Drama, Western,'-,8,93,141 min,64197,$12.54M
Nosferatu,(1922),'-,Fantasy, Horror,'-,7.9,'-,94 min,99789,'-
Shadow of a Doubt,(1943),'-,Film-Noir, Thriller,'-,7.8,94,108 min,67088,'-
Das Cabinet des Dr. Caligari,(1920),'-,Horror, Mystery, Thriller,8,'-,76 min,65840,'-
The Invisible Man,(1933),'-,Horror, Sci-Fi,'-,7.6,87,71 min,37017,'-
The Lady Vanishes,(1938),'-,Mystery, Thriller,'-,7.8,98,96 min,54188,'-
Sleuth,(1972),'-,Mystery, Thriller,'-,8,'-,138 min,48514,$4.08M
The Girl with the Dragon Tattoo,(2011),(Banned),Crime, Drama, Mystery,7.8,71,158 min,470471,$102.52M
Hamilton,(2020),12+,Biography, Drama, History,8.4,89,160 min,98734,#107
The Mitchells vs the Machines,(2021),13,Animation, Adventure, Comedy,7.6,81,114 min,113085,'-
The Pianist,(2002),13,Biography, Drama, Music,8.5,85,150 min,844733,$32.57M
Moneyball,(2011),13,Biography, Drama, Sport,7.6,87,133 min,432844,$75.61M
Drishyam 2,(2021),13,Crime, Drama, Thriller,8.4,'-,152 min,38605,'-
The Others,(2001),13,Horror, Mystery, Thriller,7.6,74,101 min,373286,$96.52M
Reservoir Dogs,(1992),15+,Crime, Thriller,'-,8.3,81,99 min,1032072,$2.83M
Get Out,(I) (2017),15+,Horror, Mystery, Thriller,7.7,85,104 min,629026,$176.04M
Koe no katachi,(2016),16,Animation, Drama,'-,8.1,78,130 min,86431,'-
The Irishman,(2019),16,Biography, Crime, Drama,7.8,94,209 min,397730,$7.00M
Druk,(2020),16,Comedy, Drama,'-,7.7,79,117 min,168128,'-
About Time,(I) (2013),16,Comedy, Drama, Fantasy,7.8,55,123 min,360084,$15.32M
Contratiempo,(2016),16,Crime, Drama, Mystery,8,'-,106 min,180542,'-
Roma,(2018),16,Drama,'-,'-,7.7,96,135 min,162056,'-
Before Sunrise,(1995),16,Drama, Romance,'-,8.1,77,101 min,315852,$5.54M
True Grit,(2010),16,Drama, Western,'-,7.6,80,110 min,344442,$171.24M
Zack Snyder's Justice League,(2021),18,Action, Adventure, Fantasy,8,54,242 min,406179,'-
G.O.R.A.,(2004),18,Adventure, Comedy, Sci-Fi,8,'-,127 min,64079,'-
Captain Fantastic,(2016),18,Comedy, Drama,'-,7.8,72,118 min,223116,$5.88M
50/50,(2011),18,Comedy, Drama, Romance,7.6,72,100 min,334359,$35.01M
